Posted Date,Reference Number,Payee,Address,Amount
10/15/2025,24011345287100123811406,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-8.24
10/15/2025,24692165287102236301356,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
10/14/2025,24427335286740287866454,"THE MISSION GROCERY SAN FANCISCO CA","SAN FANCISCO  CA ",-55.90
10/14/2025,24692165286101508769689,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-12.68
10/14/2025,24137465286100177681842,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-8.35
10/13/2025,24011345285100101768745,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.93
10/13/2025,28520401050078296890319,"PAYMENT FROM SAV 4024 CONF#1ltuzi3jk","",1000.00
10/13/2025,24765015285511906301911,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-14.57
10/13/2025,24692165285109876219394,"SFMOMA MUSEUM STORE SAN FRANCISCOCA","SAN FRANCISCO CA ",-34.76
10/13/2025,24906415284240712832652,"IONOS Inc. 877-4612631 PA","877-4612631   PA ",-31.88
10/13/2025,24445005284300559767887,"SPO*VESUVIOCAFE SAN FRANCISCOCA","SAN FRANCISCO CA ",-19.20
10/13/2025,24692165284109604892729,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-6.25
10/13/2025,24692165284109584336341,"SQ *BREAKFAST LITTLE San FranciscoCA","San Francisco CA ",-13.30
10/13/2025,24137465284100302159997,"TST* GOOD GOOD CULTURE CLSAN FRANCISCOCA","SAN FRANCISCO CA ",-159.47
10/13/2025,24137465284100234844955,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-7.88
10/11/2025,24291285284000000120412,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.17
10/11/2025,24137465283100261164666,"TST* EAST BAY SPICE CO - BERKELEY CA","BERKELEY      CA ",-53.40
10/11/2025,24011345283100127672550,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.28
10/10/2025,24431065283304453347458,"TENDER GREENS BERK OLO olo.com CA","olo.com       CA ",-19.79
10/10/2025,24692165282107577493691,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.72
10/10/2025,24011345282100132025381,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.46
10/10/2025,24011345282100131350939,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.33
10/09/2025,24275395281900019500787,"MAIDO STATIONERY - JT2 SAN FRANCISCOCA","SAN FRANCISCO CA ",-40.08
10/09/2025,24011345282100004793389,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-11.82
10/09/2025,24692165281106590388319,"SQ *SPRO MISSION DOLORES/SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.42
10/09/2025,24137465281100198594037,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-8.35
10/08/2025,24427335280740286501157,"BI-RITE MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-16.58
10/08/2025,24011345281100034012454,"SP FIAT LUX SF 141-57482471 CA","141-57482471  CA ",-325.37
10/08/2025,24291285281000000099080,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.19
10/08/2025,24011345280100139381250,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-8.56
10/08/2025,24116415280506088090798,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
10/08/2025,24692165280105258543612,"HALF PRICE BOOKS #037 BERKELEY CA","BERKELEY      CA ",-3.31
10/07/2025,24765015280505905233005,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-25.64
10/07/2025,24011345280100001497481,"WWW.SWEETGREEN.COM SWEETGREEN.COCA","SWEETGREEN.CO CA ",-16.81
10/07/2025,24692165279104764842132,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.72
10/07/2025,24055235279504831008447,"THE EXPLORATORIUM 800-430-7161 CA","800-430-7161  CA ",-29.95
10/06/2025,24692165279104060746706,"SQ *I'A POKE - CHURCH ST gosq.com CA","gosq.com      CA ",-17.74
10/06/2025,24492165279100007957044,"SP BAGGU 180-06050759 CA","180-06050759  CA ",-15.21
10/06/2025,24291285279000000092311,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-28.33
10/06/2025,24765015278503861401405,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.59
10/06/2025,24765015278503433295079,"WOORI FOOD MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-15.08
10/06/2025,24692165277103104787637,"TST*TADAIMA SF San FranciscoCA","San Francisco CA ",-7.33
10/06/2025,24291285278000000108068,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.97
10/06/2025,24011345277100142224005,"LS CANDY DOLL BEAUTY 141-55039288 CA","141-55039288  CA ",-102.68
10/06/2025,24692165277102592096675,"TST*DUBOCE PARK CAFE San FranciscoCA","San Francisco CA ",-6.92
10/06/2025,24717055277172779898874,"EL FAVORITO 9 SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.11
10/04/2025,24036295277742867256023,"RESIDENT ADVISOR 646-461-8134 NY","646-461-8134  NY ",-11.25
10/04/2025,24011345276100154637152,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.28
10/04/2025,24692165276101573172175,"TST*5 TACOS - BERKELEY Berkeley CA","Berkeley      CA ",-17.96
10/03/2025,24692165275101055758583,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.44
10/03/2025,24036295275712628879407,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-18.98
10/03/2025,24765015275500183275916,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-10.58
10/03/2025,24011345275100126941782,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.93
10/02/2025,24036295275718580491321,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-16.99
10/02/2025,24427335274740291956360,"BI-RITE MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-25.03
10/02/2025,24388865274132467100176,"Patreon* Membership Internet CA","Internet      CA ",-5.00
10/02/2025,24692165274100011277242,"SQ *CHEESE PLUS San FranciscoCA","San Francisco CA ",-16.00
10/02/2025,24692165274100010784438,"SQ *SAINT FRANK COFFEE San FranciscoCA","San Francisco CA ",-7.00
10/02/2025,24137465274500862370672,"TST* TARTINE BAKERY - SANSAN FRANCISCOCA","SAN FRANCISCO CA ",-12.50
10/01/2025,24011345274100038483528,"LYFT *RIDE TUE 5PM LYFT.COM CA","LYFT.COM      CA ",-8.69
10/01/2025,24011345274100020707744,"LYFT *RIDE TUE 5PM LYFT.COM CA","LYFT.COM      CA ",-7.18
10/01/2025,24116415273497723108659,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.15
10/01/2025,24116415273497723040282,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
10/01/2025,24011345273100106530730,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.58
09/30/2025,24291285273000000095237,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-15.98
09/30/2025,24692165272108140052396,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-6.89
09/30/2025,24692165272108009508272,"SQ *BLUE BOTTLE COFFEE Berkeley CA","Berkeley      CA ",-6.75
09/30/2025,24116415272496560077994,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-2.40
09/30/2025,24137465272100212110233,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-12.60
09/30/2025,24445005272100114232656,"CLIPPER SYSTEMS MOBILE #1CONCORD CA","CONCORD       CA ",-5.00
09/30/2025,24692165272107676076316,"SEPHORA POWELL SAN FRANCISCOCA","SAN FRANCISCO CA ",-90.16
09/29/2025,24164075271091007326122,"TARGET 00027664 SAN FRANCISCOCA","SAN FRANCISCO CA ",-122.34
09/29/2025,24011345271100103837684,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.93
09/29/2025,24269795271500929252346,"GOOD VIBRATIONS - VALENCISAN FRANCISCOCA","SAN FRANCISCO CA ",-37.18
09/29/2025,27220401050049119306275,"PAYMENT FROM SAV 4024 CONF#16oriwcro","",200.00
09/29/2025,24036295271744916442030,"GRUBHUB*LERSROS GRUBHUB.COM NY","GRUBHUB.COM   NY ",-21.73
09/29/2025,24116415271494853577474,"CTLP*PHOTO-MATICA OAKLAND CA","OAKLAND       CA ",-6.50
09/29/2025,24137465270501156367196,"TST* TARTINE BAKERY - SANSAN FRANCISCOCA","SAN FRANCISCO CA ",-4.95
09/29/2025,24692165270105843140967,"LI PO LOUNGE SAN FRANCISCOCA","SAN FRANCISCO CA ",-28.00
