Posted Date,Reference Number,Payee,Address,Amount
11/17/2025,24011345320100002295126,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-4.33
11/17/2025,24692165319109033887927,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-12.75
11/17/2025,24137465319100347409356,"TST* BURMA LOVE - VALENCISAN FRANCISCOCA","SAN FRANCISCO CA ",-43.52
11/17/2025,24137465319501126822786,"TRADER JOE S #231 OAKLAND CA","OAKLAND       CA ",-31.65
11/15/2025,24765185318030024404129,"RHEAS MARKET DELI SAN FRANCISCOCA","SAN FRANCISCO CA ",-16.28
11/15/2025,24692165318107953849795,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.00
11/14/2025,24137465317300686497606,"GOLDEN NATURAL FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-16.45
11/14/2025,24122595317030019807822,"PANCHITAS RESTAURANT #2 415-431-4232 CA","415-431-4232  CA ",-18.19
11/14/2025,24122595317030019809414,"PANCHITAS RESTAURANT #2 SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.09
11/14/2025,24692165317107108170031,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-6.25
11/14/2025,24137465317100225702114,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-8.31
11/13/2025,24765015317547522055335,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-19.72
11/13/2025,24137465317001214958248,"USPS PO 0568240047 SAN FRANCISCOCA","SAN FRANCISCO CA ",-13.19
11/13/2025,24137465317001214958164,"USPS PO 0568240047 SAN FRANCISCOCA","SAN FRANCISCO CA ",-4.60
11/13/2025,24551945316030029390932,"A & E GREEN SOLUTIONS INCSAN FRANCISCOCA","SAN FRANCISCO CA ",-25.17
11/13/2025,24011345317100014996419,"SP BOICHIK BAGELS BOICHIKBAGELSCA","BOICHIKBAGELS CA ",-44.75
11/13/2025,24692165316105784730640,"Amazon.com*B80C65JR0 Amzn.com/billWA","Amzn.com/bill WA ",-29.31
11/12/2025,24765015316546414610364,"GUS'S COMMUNITY MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-22.71
11/12/2025,24692165316105635288129,"TST*TARTINE MANUFACTORY San FranciscoCA","San Francisco CA ",-12.50
11/12/2025,24906415315243037544435,"IONOS Inc. 877-4612631 PA","877-4612631   PA ",-31.88
11/12/2025,24011345315100092689722,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.26
11/12/2025,24445005315100113968424,"PAR*MARUGAME UDON - BERKEBERKELEY CA","BERKELEY      CA ",-15.42
11/12/2025,31520401050079908682825,"PAYMENT FROM SAV 4024 CONF#3i9lwua3l","",800.00
11/11/2025,24011345315100030288355,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-4.33
11/11/2025,24692165314104555113989,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.44
11/11/2025,24692165314104506479067,"AMAZON MKTPL*BT2MP3YH1 Amzn.com/billWA","Amzn.com/bill WA ",-65.06
11/11/2025,24011345315100007517893,"CLASSPASS* MONTHLY CLASSPASS.COMMT","CLASSPASS.COM MT ",-5.00
11/11/2025,24137465314100230075368,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-8.31
11/10/2025,24765015314544290958165,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-12.96
11/10/2025,24116415314543996740941,"HORSIES MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-16.73
11/10/2025,24692165314103785440287,"SQ *ARIZMENDI BAKERY San FranciscoCA","San Francisco CA ",-3.60
11/10/2025,24692165314103760854072,"SQ *NOWHERE San FranciscoCA","San Francisco CA ",-83.64
11/10/2025,24011345313100108850344,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.58
11/10/2025,24137465313001746779488,"WHOLEFDS CAS #10396 SAN FRANCISCOCA","SAN FRANCISCO CA ",-28.97
11/10/2025,24011345313100030383695,"LYFT *RIDE FRI 8PM LYFT.COM CA","LYFT.COM      CA ",-10.93
11/10/2025,24692165312102704871814,"SQ *PALMETTO SUPERFOODS -San FranciscoCA","San Francisco CA ",-13.50
11/10/2025,24692165312102684724629,"SQ *PRINCIPLE SALON San FranciscoCA","San Francisco CA ",-168.00
11/10/2025,24765015312542376361215,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.59
11/08/2025,24692165312102044594555,"TST*TARTINE MANUFACTORY San FranciscoCA","San Francisco CA ",-14.05
11/08/2025,24493985312165147051445,"IT'S M3 TIME SAN FRANCISCOCA","SAN FRANCISCO CA ",-80.00
11/08/2025,24692165311101610122578,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
11/07/2025,24692165311100987875966,"SQ *I'A POKE - CHURCH ST gosq.com CA","gosq.com      CA ",-17.74
11/06/2025,24692165309102801467990,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-6.25
11/05/2025,24765015309538744349341,"INTERNATIONAL PRODUCE MA SAN FRANCISCOCA","SAN FRANCISCO CA ",-54.78
11/05/2025,24427335308740286937144,"BI-RITE MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-32.34
11/05/2025,24492155309184354039916,"COMMUNITY THRIFT STORE SAN FRANCISCOCA","SAN FRANCISCO CA ",-57.52
11/05/2025,24692165308101753420982,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
11/05/2025,24765015308537824225828,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.59
11/04/2025,24036295308712783737888,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-8.96
11/04/2025,24011345308100040155189,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-5.96
11/04/2025,24000775308100011460544,"TIAT.PLACE TIAT.PLACE CA","TIAT.PLACE    CA ",-10.00
11/04/2025,24692165307101026277525,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-13.51
11/03/2025,24692165306100233501355,"TST*TADAIMA SF San FranciscoCA","San Francisco CA ",-8.42
11/03/2025,24755425306173066221682,"GDP*La Promenade Cafe San FranciscoCA","San Francisco CA ",-9.50
11/03/2025,24137465306100298865296,"TST* BOOGALOOS - SAN FRANSAN FRANCISCOCA","SAN FRANCISCO CA ",-33.07
11/03/2025,24765015306535507295631,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-9.90
11/03/2025,24388865305146613659888,"Patreon* Membership Internet CA","Internet      CA ",-15.00
11/03/2025,24036295305744354421520,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-8.44
11/03/2025,24011345305100147274217,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-11.82
11/03/2025,24765015305534567407674,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.59
11/01/2025,24398025304900018648890,"EDIE PARKER 561-3194786 NY","561-3194786   NY ",-15.50
11/01/2025,24421145304900012551360,"ROSE LOS ANGELES INC. 248-6720566 CA","248-6720566   CA ",-38.68
11/01/2025,24692165304108229247489,"SQ *BASA SEAFOOD EXPRESS San FranciscoCA","San Francisco CA ",-10.57
11/01/2025,24492165304100073058940,"SP MINISTRY OF SCENT 141-58964665 CA","141-58964665  CA ",-157.50
10/31/2025,30420401050086946342596,"PAYMENT FROM SAV 4024 CONF#eakupf9w3","",1500.00
10/31/2025,24137465304001278982949,"USPS PO 0568240047 SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.02
10/31/2025,24445005304000766860477,"WALGREENS #1327 SAN FRANCISCOCA","SAN FRANCISCO CA ",-25.51
10/31/2025,24427335303740294197637,"BI-RITE MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-12.99
10/31/2025,24551945303030030300651,"A & E GREEN SOLUTIONS INCSAN FRANCISCOCA","SAN FRANCISCO CA ",-25.17
10/31/2025,24692165303107248675267,"SQ *SPRO MISSION DOLORES/SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.42
10/30/2025,24765015303532020405170,"INTERNATIONAL PRODUCE MA SAN FRANCISCOCA","SAN FRANCISCO CA ",-44.89
10/30/2025,24765015303532020126461,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-15.97
10/30/2025,24765015303532020126453,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.98
10/30/2025,24011345303100047618218,"METALABEL, INC. WWW.METALABELNY","WWW.METALABEL NY ",-5.00
10/30/2025,24492165303100009856194,"SP MINISTRY OF SCENT 141-58964665 CA","141-58964665  CA ",-10.86
10/30/2025,24692165302106319020164,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-6.25
10/30/2025,24692165302105912141427,"BLICK ART 800 447 1892 SAN FRANCISCOCA","SAN FRANCISCO CA ",-124.34
10/29/2025,24692165301105398238680,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-5.50
