Posted Date,Reference Number,Payee,Address,Amount
09/08/2025,24492165251100006520423,"SP MINISTRY OF SCENT 141-58964665 CA","141-58964665  CA ",-10.86
09/08/2025,24692165250101231518280,"SQ *I'A POKE - CHURCH ST gosq.com CA","gosq.com      CA ",-18.48
09/08/2025,24137465250501113129352,"TST* DALVA SAN FRANCISCOCA","SAN FRANCISCO CA ",-37.60
09/08/2025,25020401050080274172067,"PAYMENT FROM SAV 4024 CONF#d9ozipn15","",1000.00
09/08/2025,24036295250742784603977,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-27.97
09/08/2025,24137465250001559169921,"WHOLEFDS CAS #10396 SAN FRANCISCOCA","SAN FRANCISCO CA ",-13.13
09/08/2025,24906415249238014429767,"IONOS Inc. 877-4612631 PA","877-4612631   PA ",-20.00
09/08/2025,24692165249109880721331,"TST*BOICHIK BAGELS - BAT San FranciscoCA","San Francisco CA ",-9.32
09/08/2025,24692165249109807923663,"SEPHORA EMBARCADERO SAN FRANCISCOCA","SAN FRANCISCO CA ",-174.90
09/06/2025,24011345248100158574943,"BLOOMBERG* B33777041 BLOOMBERG.COMNY","BLOOMBERG.COM NY ",-1.99
09/06/2025,24116415248468367122589,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.10
09/06/2025,24116415248468367046572,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.15
09/05/2025,24692165247108264829936,"SQ *SPRO MISSION DOLORES/SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.42
09/05/2025,24116415247467163072098,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/04/2025,24036295247714307423833,"GO PUFF*BEV AND MORE 855-400-7833 CA","855-400-7833  CA ",-20.44
09/04/2025,24036295247712309551056,"GO PUFF*BEV AND MORE 855-400-7833 CA","855-400-7833  CA ",-2.00
09/04/2025,24692165246107353156277,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-6.62
09/04/2025,24116415246466013026198,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/03/2025,24137465245500901983549,"TRADER JOE S #078 SAN FRANCISCOCA","SAN FRANCISCO CA ",-74.19
09/02/2025,24137465245001590358804,"WHOLEFDS STN 10362 SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.97
09/02/2025,24011345245100011796090,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-71.78
09/02/2025,24036295244712950111609,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-15.98
09/02/2025,24137465244100291217110,"TST* ETCETERA WINE BAR SAN FRANCISCOCA","SAN FRANCISCO CA ",-34.55
09/02/2025,24692165244105224326469,"ALCATRAZ CRUISES 415-981-7625 CA","415-981-7625  CA ",-143.85
09/01/2025,24116415242462055523832,"CTLP*PHOTO-MATICA PHOT OAKLAND CA","OAKLAND       CA ",-6.50
09/01/2025,24291285243000000115859,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-22.15
09/01/2025,24445005242100164650895,"CLIPPER SYSTEMS MOBILE #1CONCORD CA","CONCORD       CA ",-3.00
08/30/2025,24692165241102388677400,"SEPHORA POWELL SAN FRANCISCOCA","SAN FRANCISCO CA ",-133.61
08/29/2025,24692165240101830039780,"SQ *T&O SAN FRANCISCOCA","SAN FRANCISCO CA ",-6.09
08/29/2025,24137465240100269394127,"TST* ETCETERA WINE BAR SAN FRANCISCOCA","SAN FRANCISCO CA ",-106.25
